slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality
56,0.06679534673690846,-0.000845796292627308,-0.00021046052617255883,0.05397286860453337,0.05547660079604075,0.014964256546494026,0.05471956949200951,1.0443769593414864,0.7183333333333334,1.0,4541,0.857115892789732,609,3239,0.9697452229299363,0.9481850117096019,0.04103488268023091,0.10263841701270919
57,0.07679534673690847,0.0007425233297786005,-0.00018829352075942966,0.054626381842250514,0.05419037474533674,1.085382595854265,0.05440794154361488,1.1779336667495772,0.595,1.0,4009,0.8666234327712927,630,3232,0.9782608695652174,0.9505882352941176,0.03557544757033248,0.07935905750108083
58,0.08679534673690847,0.01740960783483491,-0.0035015992389552547,0.022860285661525623,0.05284152853306423,-0.12704177707782507,0.03475589787442565,1.4940263717053535,0.49166666666666664,1.0,1662,0.4531079607415485,261,3265,0.9456521739130435,0.8665074309978769,0.09392019754453983,0.26888858596873866
59,0.09679534673690848,0.017070663875766518,0.0023223220447895205,0.05469221016534857,0.029989445869947156,1.593923242147268,0.040499247848095825,1.68088607928916,0.5566666666666666,1.0,2212,0.6934169278996866,341,3447,0.952513966480447,0.9351600651112317,0.05616298420416069,0.1706645768025078
60,0.10679534673690849,0.017572441884086742,0.0018430252461800994,0.03445823490751689,0.053627840059390544,0.21786653215751864,0.04298744828841582,1.6236487225202403,0.5433333333333333,1.0,2463,0.774041483343809,398,3416,0.9567307692307693,0.9415656008820287,0.050851814943601054,0.1227707940498638
61,0.1167953467369085,0.011026493507709427,0.0065331906491879746,0.02594924616301037,0.05056420931808076,-0.04546565065164951,0.03622296391286694,1.7071511801509536,0.5066666666666667,1.0,1827,0.5628465804066544,305,3322,0.9298780487804879,0.8939720129171151,0.08807496915119851,0.22149106592729514
62,0.1267953467369085,0.005597697867111078,-0.0014809268647658755,0.030709045967221748,0.056330787078866636,-0.025736224853768218,0.04159164254720768,1.8943278276741364,0.6366666666666667,1.0,2416,0.7585557299843014,336,3482,0.9438202247191011,0.9441431670281996,0.05601830412634966,0.15371951857666144
63,0.13679534673690852,0.002337811713796467,0.0001683149824571684,0.058425436564398,0.029910176111033526,1.5163695727589213,0.04180329050451844,1.9227881447969928,0.6,1.0,2504,0.8172323759791122,310,3562,0.9451219512195121,0.9585575888051668,0.04816022998766048,0.10966057441253264
64,0.14679534673690853,0.00255903097646442,-0.0005637602145448196,0.027344603401287883,0.05737578649548423,0.020598647905334094,0.03960957114834728,1.9821491849059405,0.5933333333333334,1.0,2263,0.7558450233800935,285,3587,0.9134615384615384,0.9611468381564845,0.06269581169098853,0.1448652861278112
65,0.15679534673690854,-0.006324971668097052,-3.0223702643288616e-06,0.013967644770273983,0.05158836364803562,0.16812985775001818,0.02684339653835701,2.0140327831777403,0.5683333333333334,1.0,956,0.32362897765741366,142,3507,0.8452380952380952,0.9047987616099071,0.12498157157599882,0.3844041976980366
66,0.16679534673690855,0.000336167237632993,-0.0013079090025543464,0.027769995079667018,0.05860508788613678,-0.06430527363288219,0.040341826957160376,2.0330559383979163,0.6116666666666667,1.0,2324,0.7923627684964201,285,3623,0.9193548387096774,0.9702731655061596,0.05518599789208148,0.12700477326968973
67,0.17679534673690855,-1.5788967803324486e-05,-0.004091849023101271,0.027513143734773326,0.057560356820801406,-0.056751382783539556,0.039795305886945374,1.972189768376016,0.62,1.0,2229,0.7641412410010284,290,3620,0.9177215189873418,0.971030042918455,0.055624219047101645,0.1462324305793624
68,0.18679534673690856,0.0010424615723388449,0.000277655927911907,0.027367477051223086,0.05782131704373044,0.04256297999240686,0.03977968787290553,1.9561947130708264,0.615,1.0,2245,0.768309377138946,286,3604,0.9285714285714286,0.9646680942184154,0.053380238605078005,0.1424897330595482
69,0.19679534673690857,0.0015040004710993313,-0.00025335654494966037,0.025263606402360406,0.056317610733518146,0.11779557158628376,0.037719834982313356,2.011975329528066,0.5833333333333334,1.0,2045,0.6948691811077132,266,3591,0.9236111111111112,0.9560702875399361,0.0601593006744764,0.1779929776871673
70,0.20679534673690858,-0.0013261612186816444,-0.006283291801313639,0.02559672548763833,0.06215308991216339,0.11989592471409254,0.03988628311450127,2.078440704525638,0.5883333333333334,1.0,2208,0.7489823609226595,239,3658,0.8984962406015038,0.9682371625198518,0.06663329843932222,0.14768204432383536
71,0.2167953467369086,-0.0021649780651920103,0.002208581752030454,0.06053521768750843,0.028851064254183278,1.554287706481588,0.041791212654615294,2.078934798577888,0.6216666666666667,1.0,2473,0.8451811346548188,290,3655,0.9294871794871795,0.9793676312968917,0.04557259460796438,0.09624572795625431
72,0.2267953467369086,-0.0017450005755740594,-0.000928990495369419,0.060296171400489394,0.02811612314869382,1.5702649488570397,0.04117395512324399,2.1039991336692525,0.615,1.0,2451,0.8336734693877551,280,3645,0.9333333333333333,0.9735576923076923,0.04655448717948718,0.10229081632653061
73,0.2367953467369086,-0.0001687459211066494,0.004059817221386354,0.06140801950825554,0.02681699144522672,1.5415981179971876,0.04058051667760287,2.018852820808662,0.605,1.0,2389,0.800603217158177,259,3654,0.9316546762589928,0.9702602230483272,0.04904255034634003,0.12063505361930295
